batch_size,N,K,library,tflops
128,512,512,cublas,5.90099
256,512,512,cublas,8.38894
384,512,512,cublas,10.7911
512,512,512,cublas,13.8494
640,512,512,cublas,16.2999
768,512,512,cublas,19.6547
896,512,512,cublas,23.3143
1024,512,512,cublas,26.5685
1152,512,512,cublas,29.8484
1280,512,512,cublas,31.1201
1408,512,512,cublas,33.3985
1536,512,512,cublas,36.3747
1664,512,512,cublas,39.5356
1792,512,512,cublas,42.7162
1920,512,512,cublas,45.7434
2048,512,512,cublas,48.0598
128,512,512,cutlass,3.0190300000000003
128,512,512,cutlass,3.0190300000000003
256,512,512,cutlass,5.91626
256,512,512,cutlass,5.91626
384,512,512,cutlass,8.85059
384,512,512,cutlass,8.85059
512,512,512,cutlass,11.8314
512,512,512,cutlass,11.8314
640,512,512,cutlass,14.5397
640,512,512,cutlass,14.5397
768,512,512,cutlass,17.8112
768,512,512,cutlass,17.8112
896,512,512,cutlass,20.4107
896,512,512,cutlass,20.410700000000002
1024,512,512,cutlass,23.4299
1024,512,512,cutlass,23.4299
1152,512,512,cutlass,25.8438
1152,512,512,cutlass,25.843799999999998
1280,512,512,cutlass,28.5143
1280,512,512,cutlass,28.5143
1408,512,512,cutlass,31.7078
1408,512,512,cutlass,31.7078
1536,512,512,cutlass,34.232
1536,512,512,cutlass,34.232
1664,512,512,cutlass,36.8939
1664,512,512,cutlass,36.8939
1792,512,512,cutlass,39.3513
1792,512,512,cutlass,39.3513
1920,512,512,cutlass,41.6072
1920,512,512,cutlass,41.6072
2048,512,512,cutlass,44.1642
2048,512,512,cutlass,44.164199999999994
128,1024,4096,cublas,31.2862
256,1024,4096,cublas,51.5722
384,1024,4096,cublas,64.1822
512,1024,4096,cublas,60.9543
640,1024,4096,cublas,67.6018
768,1024,4096,cublas,88.5586
896,1024,4096,cublas,87.8829
1024,1024,4096,cublas,74.8778
1152,1024,4096,cublas,80.4988
1280,1024,4096,cublas,85.7025
1408,1024,4096,cublas,93.501
1536,1024,4096,cublas,101.24
1664,1024,4096,cublas,86.8808
1792,1024,4096,cublas,93.6938
1920,1024,4096,cublas,101.062
2048,1024,4096,cublas,108.963
128,1024,4096,cutlass,20.1583
128,1024,4096,cutlass,20.1583
256,1024,4096,cutlass,39.4892
256,1024,4096,cutlass,39.4892
384,1024,4096,cutlass,55.9265
384,1024,4096,cutlass,55.9265
512,1024,4096,cutlass,74.1576
512,1024,4096,cutlass,74.1576
640,1024,4096,cutlass,67.19839999999999
640,1024,4096,cutlass,67.19839999999999
768,1024,4096,cutlass,77.3656
768,1024,4096,cutlass,77.3656
896,1024,4096,cutlass,83.63889999999999
896,1024,4096,cutlass,83.63889999999999
1024,1024,4096,cutlass,93.5299
1024,1024,4096,cutlass,93.5299
1152,1024,4096,cutlass,103.186
1152,1024,4096,cutlass,103.186
1280,1024,4096,cutlass,76.9115
1280,1024,4096,cutlass,76.9115
1408,1024,4096,cutlass,81.396
1408,1024,4096,cutlass,81.396
1536,1024,4096,cutlass,87.8419
1536,1024,4096,cutlass,87.8419
1664,1024,4096,cutlass,90.1226
1664,1024,4096,cutlass,90.1226
1792,1024,4096,cutlass,87.07939999999999
1792,1024,4096,cutlass,87.07939999999999
1920,1024,4096,cutlass,94.7299
1920,1024,4096,cutlass,94.7299
2048,1024,4096,cutlass,100.934
2048,1024,4096,cutlass,100.934
128,4096,1024,cublas,34.9231
256,4096,1024,cublas,63.3443
384,4096,1024,cublas,65.9383
512,4096,1024,cublas,85.8691
640,4096,1024,cublas,70.6132
768,4096,1024,cublas,71.3835
896,4096,1024,cublas,82.3144
1024,4096,1024,cublas,93.4156
1152,4096,1024,cublas,104.602
1280,4096,1024,cublas,84.2951
1408,4096,1024,cublas,92.5514
1536,4096,1024,cublas,94.8738
1664,4096,1024,cublas,101.802
1792,4096,1024,cublas,90.4819
1920,4096,1024,cublas,94.4273
2048,4096,1024,cublas,93.7906
128,4096,1024,cutlass,31.5574
128,4096,1024,cutlass,31.5574
256,4096,1024,cutlass,60.2591
256,4096,1024,cutlass,60.2591
384,4096,1024,cutlass,63.8617
384,4096,1024,cutlass,63.8617
512,4096,1024,cutlass,84.8504
512,4096,1024,cutlass,84.8504
640,4096,1024,cutlass,56.6356
640,4096,1024,cutlass,56.6356
768,4096,1024,cutlass,68.97630000000001
768,4096,1024,cutlass,68.97630000000001
896,4096,1024,cutlass,79.4185
896,4096,1024,cutlass,79.4185
1024,4096,1024,cutlass,89.9737
1024,4096,1024,cutlass,89.9737
1152,4096,1024,cutlass,95.8831
1152,4096,1024,cutlass,95.8831
1280,4096,1024,cutlass,73.3371
1280,4096,1024,cutlass,73.3371
1408,4096,1024,cutlass,80.1778
1408,4096,1024,cutlass,80.1778
1536,4096,1024,cutlass,88.505
1536,4096,1024,cutlass,88.505
1664,4096,1024,cutlass,92.7344
1664,4096,1024,cutlass,92.7344
1792,4096,1024,cutlass,77.2089
1792,4096,1024,cutlass,77.2089
1920,4096,1024,cutlass,80.4415
1920,4096,1024,cutlass,80.4415
2048,4096,1024,cutlass,86.4551
2048,4096,1024,cutlass,86.4551
128,4096,4096,cublas,57.1322
256,4096,4096,cublas,93.3672
384,4096,4096,cublas,82.2836
512,4096,4096,cublas,107.332
640,4096,4096,cublas,87.1242
768,4096,4096,cublas,99.7922
896,4096,4096,cublas,97.1622
1024,4096,4096,cublas,108.423
1152,4096,4096,cublas,115.776
1280,4096,4096,cublas,95.642
1408,4096,4096,cublas,100.604
1536,4096,4096,cublas,106.217
1664,4096,4096,cublas,110.846
1792,4096,4096,cublas,97.7014
1920,4096,4096,cublas,100.368
2048,4096,4096,cublas,106.944
128,4096,4096,cutlass,54.509800000000006
128,4096,4096,cutlass,54.509800000000006
256,4096,4096,cutlass,86.7347
256,4096,4096,cutlass,86.7347
384,4096,4096,cutlass,84.9307
384,4096,4096,cutlass,84.9307
512,4096,4096,cutlass,100.459
512,4096,4096,cutlass,100.459
640,4096,4096,cutlass,75.6824
640,4096,4096,cutlass,75.6824
768,4096,4096,cutlass,89.7241
768,4096,4096,cutlass,89.7241
896,4096,4096,cutlass,85.0536
896,4096,4096,cutlass,85.0536
1024,4096,4096,cutlass,92.9867
1024,4096,4096,cutlass,92.9867
1152,4096,4096,cutlass,98.5414
1152,4096,4096,cutlass,98.5414
1280,4096,4096,cutlass,83.5976
1280,4096,4096,cutlass,83.5976
1408,4096,4096,cutlass,89.2381
1408,4096,4096,cutlass,89.2381
1536,4096,4096,cutlass,90.3981
1536,4096,4096,cutlass,90.3981
1664,4096,4096,cutlass,94.6215
1664,4096,4096,cutlass,94.6215
1792,4096,4096,cutlass,84.2121
1792,4096,4096,cutlass,84.2121
1920,4096,4096,cutlass,87.731
1920,4096,4096,cutlass,87.731
2048,4096,4096,cutlass,90.6379
2048,4096,4096,cutlass,90.63789999999999
128,14336,4096,cublas,59.9161
256,14336,4096,cublas,94.1029
384,14336,4096,cublas,96.3193
512,14336,4096,cublas,97.0412
640,14336,4096,cublas,104.353
768,14336,4096,cublas,109.434
896,14336,4096,cublas,108.081
1024,14336,4096,cublas,106.314
1152,14336,4096,cublas,111.689
1280,14336,4096,cublas,113.998
1408,14336,4096,cublas,112.593
1536,14336,4096,cublas,110.748
1664,14336,4096,cublas,108.215
1792,14336,4096,cublas,113.925
1920,14336,4096,cublas,113.643
2048,14336,4096,cublas,112.739
128,14336,4096,cutlass,68.00030000000001
128,14336,4096,cutlass,68.00030000000001
256,14336,4096,cutlass,74.24610000000001
256,14336,4096,cutlass,74.24610000000001
384,14336,4096,cutlass,81.0675
384,14336,4096,cutlass,81.0675
512,14336,4096,cutlass,81.915
512,14336,4096,cutlass,81.915
640,14336,4096,cutlass,88.69030000000001
640,14336,4096,cutlass,88.69030000000001
768,14336,4096,cutlass,90.7002
768,14336,4096,cutlass,90.7002
896,14336,4096,cutlass,90.3816
896,14336,4096,cutlass,90.3816
1024,14336,4096,cutlass,89.81280000000001
1024,14336,4096,cutlass,89.81280000000001
1152,14336,4096,cutlass,93.5582
1152,14336,4096,cutlass,93.5582
1280,14336,4096,cutlass,92.8123
1280,14336,4096,cutlass,92.81230000000001
1408,14336,4096,cutlass,92.4194
1408,14336,4096,cutlass,92.4194
1536,14336,4096,cutlass,91.6897
1536,14336,4096,cutlass,91.6897
1664,14336,4096,cutlass,90.6962
1664,14336,4096,cutlass,90.69619999999999
1792,14336,4096,cutlass,94.9866
1792,14336,4096,cutlass,94.98660000000001
1920,14336,4096,cutlass,93.8043
1920,14336,4096,cutlass,93.8043
2048,14336,4096,cutlass,92.5887
2048,14336,4096,cutlass,92.5887
